,start_id
519.0,469548.0
497.0,342882.0
402.0,327333.0
435.0,324603.0
426.0,305712.0
3255.0,297138.0
490.0,275303.0
514.0,268467.0
459.0,263237.0
477.0,263130.0
499.0,260243.0
358.0,254969.0
293.0,254515.0
368.0,239122.0
523.0,238537.0
281.0,237975.0
3002.0,236142.0
379.0,235659.0
151.0,233805.0
2006.0,233378.0
492.0,232297.0
3263.0,229629.0
229.0,226585.0
168.0,225909.0
359.0,223723.0
504.0,216869.0
465.0,213515.0
3435.0,212802.0
491.0,209814.0
387.0,203020.0
432.0,202980.0
446.0,201728.0
327.0,200042.0
128.0,191433.0
445.0,190545.0
442.0,189991.0
173.0,189287.0
486.0,188354.0
472.0,187078.0
3164.0,185820.0
496.0,184088.0
127.0,182213.0
453.0,180894.0
479.0,180790.0
482.0,180132.0
297.0,180015.0
458.0,179830.0
3141.0,177939.0
494.0,175179.0
466.0,174309.0
468.0,172740.0
3256.0,172614.0
507.0,171528.0
517.0,170830.0
518.0,169760.0
312.0,167751.0
461.0,167357.0
380.0,167086.0
545.0,166928.0
3233.0,166852.0
450.0,166763.0
237.0,166189.0
3165.0,164140.0
347.0,163845.0
3443.0,163598.0
3260.0,161446.0
236.0,159144.0
438.0,158410.0
2003.0,158377.0
3167.0,157426.0
2008.0,157102.0
251.0,157044.0
307.0,156500.0
487.0,155154.0
531.0,153257.0
326.0,153012.0
401.0,152677.0
478.0,152437.0
212.0,151432.0
528.0,151242.0
336.0,151188.0
503.0,150524.0
2021.0,149423.0
525.0,146943.0
530.0,146651.0
476.0,146620.0
3137.0,146160.0
501.0,145600.0
3163.0,145165.0
447.0,144537.0
3282.0,144421.0
383.0,142704.0
526.0,142473.0
529.0,142364.0
301.0,141466.0
315.0,138866.0
3158.0,138708.0
540.0,138442.0
167.0,137926.0
265.0,137839.0
417.0,137301.0
361.0,136828.0
520.0,136264.0
3244.0,135516.0
410.0,135180.0
377.0,133494.0
388.0,131503.0
317.0,131463.0
3236.0,131361.0
536.0,130587.0
305.0,130341.0
412.0,130273.0
546.0,129876.0
448.0,128817.0
539.0,128776.0
268.0,127581.0
319.0,127491.0
3142.0,126927.0
195.0,126904.0
3016.0,126402.0
335.0,124151.0
3093.0,123972.0
508.0,123884.0
3140.0,123145.0
72.0,122401.0
484.0,121151.0
3168.0,120964.0
532.0,120929.0
3159.0,120880.0
394.0,120767.0
3429.0,119740.0
303.0,118494.0
257.0,118486.0
350.0,118410.0
469.0,118346.0
2012.0,117288.0
346.0,117038.0
325.0,116855.0
363.0,116210.0
174.0,115883.0
3235.0,115056.0
328.0,114559.0
3374.0,113577.0
500.0,113186.0
252.0,112948.0
254.0,112032.0
485.0,111586.0
355.0,109500.0
3143.0,109471.0
311.0,107676.0
279.0,106838.0
3295.0,106004.0
309.0,105004.0
2002.0,104894.0
460.0,104154.0
440.0,103178.0
3409.0,102508.0
296.0,101168.0
456.0,99910.0
217.0,98767.0
3160.0,98445.0
280.0,97639.0
455.0,96701.0
3156.0,95476.0
513.0,95251.0
164.0,95106.0
238.0,94813.0
369.0,94693.0
422.0,93266.0
473.0,92673.0
2000.0,92501.0
150.0,90953.0
259.0,90864.0
3112.0,90488.0
3171.0,89139.0
3360.0,89102.0
146.0,88416.0
3175.0,88362.0
3161.0,87749.0
391.0,85991.0
3173.0,85324.0
3440.0,84424.0
295.0,84310.0
3166.0,81038.0
228.0,80757.0
79.0,80745.0
3423.0,80476.0
3107.0,79104.0
351.0,78898.0
3092.0,78411.0
320.0,78390.0
3170.0,77177.0
427.0,77119.0
239.0,76580.0
3119.0,76400.0
3314.0,76045.0
330.0,75950.0
386.0,75682.0
323.0,75162.0
3402.0,74352.0
454.0,73972.0
3349.0,73333.0
3283.0,73188.0
3129.0,73021.0
415.0,72669.0
349.0,72547.0
3177.0,72167.0
467.0,71349.0
393.0,71155.0
481.0,70957.0
