,start_id
3379.0,29973.0
3412.0,29820.0
3306.0,29742.0
3311.0,29740.0
420.0,29473.0
343.0,29273.0
396.0,28894.0
3403.0,28214.0
3094.0,28206.0
144.0,28026.0
3339.0,27355.0
400.0,27309.0
3303.0,27241.0
3410.0,27233.0
3413.0,27068.0
419.0,26913.0
3386.0,26692.0
3388.0,26595.0
289.0,26533.0
3343.0,26429.0
278.0,26188.0
3157.0,26180.0
397.0,25330.0
3397.0,25074.0
216.0,24984.0
245.0,24342.0
3105.0,24089.0
3052.0,24067.0
3067.0,23747.0
3404.0,23571.0
3049.0,23239.0
3241.0,23081.0
3390.0,23062.0
3297.0,22870.0
3057.0,22815.0
421.0,22611.0
3088.0,22455.0
3047.0,21838.0
3344.0,21770.0
3347.0,21714.0
3068.0,21351.0
3363.0,21156.0
3042.0,21005.0
3071.0,20771.0
3249.0,20704.0
3062.0,20617.0
436.0,20465.0
3313.0,20446.0
3338.0,20266.0
3387.0,20009.0
3050.0,19978.0
3095.0,19822.0
3317.0,19631.0
372.0,19434.0
3055.0,19325.0
3405.0,19013.0
3381.0,18895.0
3056.0,18850.0
3058.0,18677.0
3121.0,18123.0
3054.0,18074.0
3041.0,18023.0
373.0,17994.0
3424.0,17752.0
3391.0,17597.0
443.0,17545.0
3399.0,17539.0
3324.0,17311.0
3066.0,16529.0
3046.0,16475.0
3060.0,16388.0
3348.0,16378.0
3072.0,16048.0
3122.0,15905.0
3070.0,15872.0
3309.0,15639.0
3069.0,15277.0
3048.0,14824.0
3302.0,14683.0
3065.0,14181.0
3053.0,13466.0
3221.0,12888.0
3123.0,12857.0
3179.0,12804.0
3063.0,12669.0
3059.0,12600.0
3127.0,11956.0
3043.0,11878.0
119.0,11589.0
3327.0,11420.0
3392.0,11287.0
3075.0,10676.0
3061.0,10433.0
3128.0,10059.0
3352.0,9708.0
3393.0,8956.0
3342.0,8653.0
3044.0,8024.0
3340.0,7681.0
3326.0,7334.0
3330.0,6904.0
3394.0,6048.0
2005.0,4107.0
3333.0,3394.0
